emp_no,last_name,first_name,dept_no
10001,Facello,Georgi,d005
10018,Peha,Kazuhide,d005
10053,Zschoche,Sanjiv,d007
10066,Schusler,Kwee,d005
10070,Garigliano,Reuven,d005
10072,Sidou,Hironoby,d005
10076,Ritzmann,Erez,d005
10088,Syrzycki,Jungsoon,d007
10103,Birch,Akemi,d005
10129,Peir,Armond,d005
10134,Siprelle,Diederik,d005
10150,Perng,Zhenbing,d005
10153,Majewski,Heekeun,d005
10157,Aloisi,Nigel,d005
10198,Furedi,Pranav,d005
10215,Duclos,Xiaobin,d007
10258,Ishibashi,Basil,d005
10283,Birjandi,Kauko,d005
10355,Cochrane,Satyanarayana,d007
10396,Rahier,Sibyl,d005
10404,Rosti,Prodip,d005
10426,Luce,Arunas,d005
10429,Improta,Martien,d005
10463,Zaiane,Ung,d007
10504,Varker,Xiong,d007
10548,Gunderson,Ramalingam,d007
10623,Danlos,Aleksander,d005
10628,Krogh,Krisda,d005
10631,Chaudhuri,Inderjeet,d005
10642,Narlikar,Hirochika,d005
10653,Feinberg,Otmar,d005
10676,Danley,Valeri,d005
10702,Szemeredi,Bader,d005
10718,Rullman,Adib,d005
10726,Minakawa,Zita,d005
10767,Doering,Monique,d007
10791,Sgarro,Tadahiko,d005
10795,Naudin,Supot,d007
10808,Leijenhorst,Chenxi,d005
10836,Leivant,Jianhua,d007
10844,Koprowski,Dipayan,d005
10878,Deville,Lakshmi,d007
10879,Chleq,Muzhong,d005
10909,Atchley,Georgi,d005
10924,Atchley,Hironoby,d007
10943,Skafidas,Berna,d005
10965,Braunschweig,Eckart,d007
10969,Noriega,Premal,d005
10974,Papsdorf,Muneo,d005
10986,Schiper,Masako,d005
10988,Deyuan,Chinya,d005
10990,Foote,Shin,d005
11009,Axelband,Alper,d007
11019,Huttel,Leon,d005
11042,Breugel,Gou,d005
11048,Demke,Jaques,d007
11106,Iwayama,Aris,d005
11121,Kakkad,Vugranam,d005
11137,Luca,Hugh,d005
11146,Masand,Ishfaq,d007
11162,Narlikar,Kauko,d005
11180,Bojadziev,Mitsuyuki,d005
11197,Fordan,Tadahiro,d007
11207,Gips,Saeed,d005
11240,Condotta,Kiam,d005
11249,Cyre,Randi,d005
11275,Eppinger,Hitomi,d005
11290,Dredge,Visit,d005
11319,Marrakchi,Pranas,d005
11338,Hanratty,Kwangsub,d007
11347,Jonsson,Anneli,d005
11380,Pelc,Kenroku,d005
11404,Borovoy,Bedrich,d005
11441,Aingworth,Marlo,d007
11506,Picel,Rance,d007
11509,Feldhoffer,Aleksander,d005
11515,Basawa,Ulf,d007
11524,Standera,Xiadong,d005
11537,Pehl,DAIDA,d007
11567,Mitzlaff,Teiji,d007
11568,Fujisaki,Martins,d005
11615,Isaak,Shem,d007
11628,Malinowski,Fan,d005
11640,Coorg,Valeri,d005
11647,Nitsche,Magy,d005
11660,Stenning,Gill,d007
11696,Rothe,Dante,d007
11746,Marrakchi,Koichi,d007
11769,Lampe,Chandrasekaran,d005
11772,Penz,Gaurav,d005
11797,Thambidurai,Chenxi,d007
11810,Bhattacharjee,Amabile,d005
11817,Markovitch,Niranjan,d007
11832,Zlotek,Arto,d005
11844,Demeyer,Shawna,d005
11857,Farrag,Divier,d007
11871,Sommen,Nalini,d005
11894,Validov,Mitchel,d005
11897,Setlzner,Cordelia,d007
11906,Boguraev,Hideo,d005
11933,Erman,Basil,d005
11983,Hedayat,Jaana,d005
12011,Coorg,Zhilian,d007
12036,Ratzlaff,Mads,d007
12069,Burnard,Ayonca,d005
12070,Shokrollahi,Ger,d005
12076,Siprelle,Karlis,d007
12082,Yamaashi,Xinan,d007
12099,Kuzuoka,Nobuyoshi,d007
12125,Erman,Shounak,d005
12149,Grandbois,Suebskul,d007
12159,Perly,Shem,d005
12165,Maquelin,Xiaobin,d005
12205,Rossi,Sushant,d005
12206,Janetzko,Barton,d005
12221,Melter,Vincent,d005
12247,Penttonen,Subbu,d005
12249,Sadowski,Eldridge,d005
12264,Pagter,Mart,d005
12311,Lubachevsky,Susanne,d005
12327,Bruckman,DAIDA,d005
12341,Luga,Rasiah,d005
12373,Driscoll,Mooi,d007
12399,Luga,Mihalis,d007
12411,Ibel,Shao,d007
12454,Farris,Kerryn,d007
12464,Milicic,Shai,d007
12475,Roison,Filipe,d005
12489,Munck,Arnould,d005
12490,Muchinsky,Jackson,d005
12497,Penz,Stein,d007
12514,Melter,Tomofumi,d005
12541,Nanard,Shih,d007
12589,Chleq,Anoosh,d005
12601,Simkin,Ghassan,d005
12638,Seiwald,Yuqun,d005
12651,Bael,Pragnesh,d007
12662,Alvarado,Leucio,d005
12663,Stellhorn,Nobuyoshi,d005
12664,Parveen,Zhonghua,d007
12689,Boudaillier,Luerbio,d005
12709,Botman,Ronghao,d005
12726,Panwar,Fumitake,d005
12732,Takanami,Mara,d007
12734,Frijda,Gil,d005
